accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.7243066,-0.16865607,0.6612751,-0.09823675,rotation_vector,2567485982348
0.03583145,-0.107129574,-0.26969656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567485982348
0.0,0.0,0.0,0.0,0.0,0.0,0.72446483,-0.16881824,0.661023,-0.09848748,rotation_vector,2567505879806
0.0,0.0,0.0,0.013439035,-0.019547688,-0.03023783,1.0,0.0,0.0,0.0,gyroscope,2567515828535
0.0,0.0,0.0,0.008093964,-0.024281893,-0.03191771,1.0,0.0,0.0,0.0,gyroscope,2567495931077
0.09853554,-0.10730672,-0.27474177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567505879806
0.11678028,-0.05800271,-0.28808552,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567525777266
0.11732197,-0.05876708,-0.3105404,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567545781536
0.0,0.0,0.0,0.0,0.0,0.0,0.72454464,-0.16893785,0.6608666,-0.09874394,rotation_vector,2567525777266
0.0,0.0,0.0,0.016035212,-0.011759156,-0.027183503,1.0,0.0,0.0,0.0,gyroscope,2567535779401
0.0,0.0,0.0,0.034208454,0.00580322,-0.0065668016,1.0,0.0,0.0,0.0,gyroscope,2567575757423
0.0,0.0,0.0,0.051618114,0.023365596,0.008093964,1.0,0.0,0.0,0.0,gyroscope,2567595700657
0.0,0.0,0.0,0.0,0.0,0.0,0.7247138,-0.16896325,0.66060704,-0.09919588,rotation_vector,2567565785806
0.07187557,-0.09596181,-0.30686378,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567585729040
0.0,0.0,0.0,0.0,0.0,0.0,0.72465116,-0.1686013,0.660719,-0.09952317,rotation_vector,2567585729040
0.11987686,-0.08651686,-0.3244248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567565785806
0.0,0.0,0.0,0.052839845,0.011911872,0.024587326,1.0,0.0,0.0,0.0,gyroscope,2567615643893
0.0,0.0,0.0,0.0,0.0,0.0,0.7246804,-0.16750875,0.66091156,-0.0998747,rotation_vector,2567625615510
0.0,0.0,0.0,0.0,0.0,0.0,0.72475827,-0.16693094,0.6609792,-0.09983042,rotation_vector,2567645558747
0.0,0.0,0.0,0.04352415,0.005497787,0.045814894,1.0,0.0,0.0,0.0,gyroscope,2567655537994
0.0,0.0,0.0,0.0,0.0,0.0,0.7248317,-0.16632785,0.6610612,-0.09976019,rotation_vector,2567665517241
0.0,0.0,0.0,0.0,0.0,0.0,0.7250487,-0.16522503,0.66112316,-0.09960549,rotation_vector,2567725270653
0.106882095,-0.22026825,-0.23801976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567725270653
0.024636269,-0.08011389,-0.32707658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567605672276
0.0,0.0,0.0,0.0,0.0,0.0,0.7246066,-0.16808923,0.66085964,-0.099778995,rotation_vector,2567605672276
0.0,0.0,0.0,0.0346666,0.0012217305,0.04596761,1.0,0.0,0.0,0.0,gyroscope,2567675496488
0.03451538,-0.1580596,-0.29453143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567645558747
0.041840553,-0.15933871,-0.28027415,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567665517241
0.078471184,-0.18961644,-0.26663572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567685475735
0.0,0.0,0.0,0.0,0.0,0.0,0.72502553,-0.16548954,0.66109,-0.099555016,rotation_vector,2567705373193
0.1286869,-0.2196343,-0.25372788,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567705373193
0.0,0.0,0.0,0.0,0.0,0.0,0.7249321,-0.16584839,0.6610906,-0.099634446,rotation_vector,2567685475735
0.0,0.0,0.0,0.025350908,-0.0053450707,0.038331795,1.0,0.0,0.0,0.0,gyroscope,2567695424464
0.0,0.0,0.0,0.02321288,-0.00061086525,0.024281893,1.0,0.0,0.0,0.0,gyroscope,2567715321922
0.0,0.0,0.0,0.024129177,0.005955936,0.010995574,1.0,0.0,0.0,0.0,gyroscope,2567735265158
0.0,0.0,0.0,0.0346666,0.0067195175,0.0041233404,1.0,0.0,0.0,0.0,gyroscope,2567755254168
0.0,0.0,0.0,0.0,0.0,0.0,0.7250387,-0.16499309,0.6611675,-0.09976861,rotation_vector,2567745259663
0.08136463,-0.23131084,-0.21068183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567745259663
0.0,0.0,0.0,0.048563786,0.0009162979,0.0041233404,1.0,0.0,0.0,0.0,gyroscope,2567775227923
0.053860664,-0.19536471,-0.19752467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567785207170
0.0,0.0,0.0,0.04718934,-0.014813482,0.00580322,1.0,0.0,0.0,0.0,gyroscope,2567795186417
0.0,0.0,0.0,0.031612277,-0.023060163,0.0032070426,1.0,0.0,0.0,0.0,gyroscope,2567815137281
0.09460163,-0.1644504,-0.19666821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567845052135
0.0,0.0,0.0,0.0,0.0,0.0,0.7262973,-0.16389115,0.65997046,-0.1003538,rotation_vector,2567884938606
0.11579609,-0.17284322,-0.31835246,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567964742064
0.0,0.0,0.0,0.0010690142,-0.035888333,0.02443461,1.0,0.0,0.0,0.0,gyroscope,2567994679805
0.0,0.0,0.0,0.0,0.0,0.0,0.7280573,-0.16294251,0.6584709,-0.0989872,rotation_vector,2568024602287
0.04249382,-0.246387,-0.17459261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567765248676
0.16800117,-0.17984748,-0.28177577,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2568004659053
0.0,0.0,0.0,0.0056505036,-0.02076942,0.025961773,1.0,0.0,0.0,0.0,gyroscope,2568014630670
0.0,0.0,0.0,0.0,0.0,0.0,0.7282756,-0.16286477,0.6582917,-0.09870034,rotation_vector,2568044545523
0.21069908,-0.22380447,-0.32646322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2568064488757
0.0,0.0,0.0,0.0,0.0,0.0,0.7284578,-0.16279168,0.6581868,-0.09817422,rotation_vector,2568084431994
0.0,0.0,0.0,0.0,0.0,0.0,0.7284886,-0.16290098,0.65816855,-0.09788649,rotation_vector,2568104329452
0.13273907,-0.25037408,-0.3674909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2568104329452
0.12274742,-0.29781842,-0.3370294,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2568124226912
0.0,0.0,0.0,0.0,0.0,0.0,0.7283953,-0.16345862,0.65821284,-0.09735259,rotation_vector,2568164357523
0.0,0.0,0.0,0.00045814895,0.0022907446,-0.020463986,1.0,0.0,0.0,0.0,gyroscope,2568214093540
0.0,0.0,0.0,-0.0033597588,0.0009162979,-0.029474247,1.0,0.0,0.0,0.0,gyroscope,2568234036774
0.0,0.0,0.0,-0.014202617,-0.011911872,-0.045356743,1.0,0.0,0.0,0.0,gyroscope,2568273946135
0.0,0.0,0.0,0.0,0.0,0.0,0.728081,-0.1646035,0.658156,-0.09815598,rotation_vector,2568263966888
0.0,0.0,0.0,0.0,0.0,0.0,0.7281195,-0.16422231,0.65824366,-0.09792083,rotation_vector,2568244008394
0.0767355,-0.13922024,-0.2548756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2568363637287
0.083786964,-0.10684013,-0.2917289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2568383626297
0.0,0.0,0.0,-0.0047342055,-0.032528576,-0.022143865,1.0,0.0,0.0,0.0,gyroscope,2568413564039
0.0,0.0,0.0,0.0,0.0,0.0,0.72934014,-0.16748503,0.65578645,-0.09977884,rotation_vector,2568483296699
0.0,0.0,0.0,-0.004886922,-0.0030543262,-0.00015271631,1.0,0.0,0.0,0.0,gyroscope,2568513234440
0.0,0.0,0.0,0.007483099,0.01038471,0.005192355,1.0,0.0,0.0,0.0,gyroscope,2568533238710
0.0,0.0,0.0,0.0,0.0,0.0,0.72932327,-0.16759993,0.6557867,-0.09970807,rotation_vector,2568523213687
0.0,0.0,0.0,0.0,0.0,0.0,0.72922784,-0.16744581,0.65592235,-0.099772945,rotation_vector,2568543263733
0.0,0.0,0.0,0.0041233404,0.009773844,0.005192355,1.0,0.0,0.0,0.0,gyroscope,2568573262510
0.0,0.0,0.0,-0.008857546,0.014813482,0.0016798794,1.0,0.0,0.0,0.0,gyroscope,2568593159968
0.0,0.0,0.0,-0.003970624,0.020616703,0.00015271631,1.0,0.0,0.0,0.0,gyroscope,2568633023550
0.0,0.0,0.0,0.0,0.0,0.0,0.7251999,-0.16427468,0.6610839,-0.10033492,rotation_vector,2567785207170
0.0,0.0,0.0,0.0,0.0,0.0,0.7250756,-0.16467449,0.66116756,-0.10002634,rotation_vector,2567765248676
0.0,0.0,0.0,0.0,0.0,0.0,0.7256115,-0.16385816,0.660697,-0.100588344,rotation_vector,2567825108898
0.0,0.0,0.0,0.0,0.0,0.0,0.72542274,-0.16400398,0.6608821,-0.10049567,rotation_vector,2567805165664
0.093502045,-0.1463952,-0.19925988,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567825108898
0.0,0.0,0.0,0.015118915,-0.02321288,0.0015271631,1.0,0.0,0.0,0.0,gyroscope,2567835080515
0.10413647,-0.13339067,-0.21780121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567805165664
0.0,0.0,0.0,0.0035124752,-0.02687807,0.00045814895,1.0,0.0,0.0,0.0,gyroscope,2567855023752
0.0,0.0,0.0,0.0,0.0,0.0,0.7257826,-0.16385671,0.66051155,-0.10057457,rotation_vector,2567845052135
0.0,0.0,0.0,-0.0012217305,-0.03848451,0.005497787,1.0,0.0,0.0,0.0,gyroscope,2567874966986
0.0,0.0,0.0,0.0,0.0,0.0,0.7259825,-0.16388525,0.6602941,-0.10051241,rotation_vector,2567864995369
0.08814144,-0.16402078,-0.21958834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567864995369
0.0,0.0,0.0,0.0038179078,-0.047494773,0.019242255,1.0,0.0,0.0,0.0,gyroscope,2567914807680
0.10105705,-0.16191459,-0.23374498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567884938606
0.15671444,-0.15033841,-0.26068312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567904851322
0.0,0.0,0.0,0.0,0.0,0.0,0.7266834,-0.16384073,0.6595892,-0.100148484,rotation_vector,2567904851322
0.0,0.0,0.0,-0.0013744468,-0.054367006,0.012675454,1.0,0.0,0.0,0.0,gyroscope,2567894894964
0.0,0.0,0.0,0.012370021,-0.02611449,0.023060163,1.0,0.0,0.0,0.0,gyroscope,2567934758546
0.0,0.0,0.0,0.0,0.0,0.0,0.72694427,-0.16368088,0.65936637,-0.099983625,rotation_vector,2567924764041
0.0,0.0,0.0,0.0,0.0,0.0,0.7271265,-0.16346005,0.6592377,-0.09986799,rotation_vector,2567944753051
0.086559296,-0.15774083,-0.27795622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567944753051
0.1466856,-0.18223834,-0.25315866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2567924764041
0.0,0.0,0.0,0.008246681,-0.030695979,0.021991149,1.0,0.0,0.0,0.0,gyroscope,2567954747556
0.0,0.0,0.0,0.0,0.0,0.0,0.7273985,-0.16336675,0.6589951,-0.09964102,rotation_vector,2567964742064
