accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-2.2571468,-2.197529,1.9438295,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622100111556
0.0,0.0,0.0,3.7849212,-0.5723807,-2.082745,1.0,0.0,0.0,0.0,gyroscope,1622169808453
-3.198369,-5.4451475,7.728488,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622139977572
-5.0467367,-6.868353,10.858568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622159864826
0.0,0.0,0.0,0.0,0.0,0.0,0.8028216,-0.07132793,0.56844324,-0.16511236,rotation_vector,1622159864826
0.0,0.0,0.0,0.0,0.0,0.0,0.8006992,-0.091252066,0.57722384,-0.1317823,rotation_vector,1622139977572
0.0,0.0,0.0,3.7763689,-1.387275,-3.244458,1.0,0.0,0.0,0.0,gyroscope,1622189741463
0.0,0.0,0.0,3.726889,-2.0650299,-4.3424883,1.0,0.0,0.0,0.0,gyroscope,1622209720224
-8.236849,-7.3779736,13.489847,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622179752082
0.0,0.0,0.0,0.0,0.0,0.0,0.8049523,-0.054854468,0.55164933,-0.21148442,rotation_vector,1622179752082
0.0,0.0,0.0,0.0,0.0,0.0,0.8074712,-0.05020488,0.52596605,-0.2623535,rotation_vector,1622199730844
-12.3130665,-7.96385,15.070562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622199730844
0.0,0.0,0.0,0.0,0.0,0.0,0.80590004,-0.049942352,0.49415097,-0.32225096,rotation_vector,1622219709605
-22.622847,-12.124544,19.090343,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622239642612
0.0,0.0,0.0,3.235906,-2.4683537,-5.098129,1.0,0.0,0.0,0.0,gyroscope,1622229676108
0.0,0.0,0.0,0.0,0.0,0.0,0.80116403,-0.06539385,0.46032307,-0.37677938,rotation_vector,1622239642612
0.0,0.0,0.0,1.7062993,-3.2933273,-5.7952785,1.0,0.0,0.0,0.0,gyroscope,1622249609115
0.0,0.0,0.0,0.0,0.0,0.0,0.79349154,-0.09978985,0.4189611,-0.42998236,rotation_vector,1622259575620
0.0,0.0,0.0,0.0,0.0,0.0,0.78566635,-0.13496521,0.3624329,-0.48286158,rotation_vector,1622279523879
-22.716677,-15.968937,17.322468,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622259575620
0.0,0.0,0.0,1.1685852,-4.7390924,-6.438367,1.0,0.0,0.0,0.0,gyroscope,1622269549750
0.0,0.0,0.0,6.4854035,-4.2496367,-4.731304,1.0,0.0,0.0,0.0,gyroscope,1622329394527
0.0,0.0,0.0,5.912259,-5.385846,-2.6693285,1.0,0.0,0.0,0.0,gyroscope,1624543068230
-15.8382635,-10.655452,-2.0506167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622319420397
-15.13434,-7.327219,-12.979111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1624553044849
-16.813816,-16.385906,6.5405617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622299472138
0.0,0.0,0.0,5.383861,-4.322177,-5.884618,1.0,0.0,0.0,0.0,gyroscope,1622309446268
0.0,0.0,0.0,6.4429483,-4.8970013,-1.9399554,1.0,0.0,0.0,0.0,gyroscope,1622369245292
-12.7293825,-5.697109,-10.69619,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622339368657
0.0,0.0,0.0,0.0,0.0,0.0,0.7517652,-0.11561965,0.14388448,-0.63307077,rotation_vector,1622339368657
0.0,0.0,0.0,0.0,0.0,0.0,0.7467846,-0.10174309,0.0649293,-0.65402246,rotation_vector,1622359286414
0.0,0.0,0.0,6.5690923,-4.404033,-0.5552765,1.0,0.0,0.0,0.0,gyroscope,1622389178301
0.0,0.0,0.0,0.0,0.0,0.0,0.75056773,-0.06299026,-0.08575709,-0.65217036,rotation_vector,1622399152430
-4.4421277,-6.7709274,-20.417776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1622399152430
0.0,0.0,0.0,6.042221,-3.402672,0.46135598,1.0,0.0,0.0,0.0,gyroscope,1622409126560
