accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.7131919,-0.34441832,0.12224034,-0.5981561,rotation_vector,2117768816595
0.0,0.0,0.0,-0.0018325958,-0.008246681,0.002443461,1.0,0.0,0.0,0.0,gyroscope,2117778788170
-0.012328863,0.0167346,-0.019776821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117788759744
-0.032068968,0.011808872,-0.015340328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117768816595
0.0,0.0,0.0,0.0041233404,-0.004581489,-0.004428773,1.0,0.0,0.0,0.0,gyroscope,2117838640510
-0.017337322,0.027709007,-0.015818596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117808702896
-0.033409834,0.056163788,-0.036084175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117828661305
0.0,0.0,0.0,0.0,0.0,0.0,0.71324354,-0.34440285,0.12209049,-0.59813404,rotation_vector,2117808702896
0.0,0.0,0.0,-0.0071776668,-0.0050396384,-0.005192355,1.0,0.0,0.0,0.0,gyroscope,2117858568401
0.0,0.0,0.0,0.0,0.0,0.0,0.7131598,-0.34453034,0.121961296,-0.5981868,rotation_vector,2117868517087
0.0,0.0,0.0,0.0,0.0,0.0,0.71321905,-0.3444232,0.121956855,-0.5981787,rotation_vector,2117848619714
-0.015597105,-0.011294842,-0.029908657,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117868517087
0.0,0.0,0.0,0.0,0.0,0.0,0.7131452,-0.34448853,0.12190981,-0.59823877,rotation_vector,2117888414462
-0.013460398,0.01686716,-0.009690285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117888414462
-0.015548706,0.039308548,-0.021916866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117908403387
0.0,0.0,0.0,0.014049901,0.002443461,-0.0061086523,1.0,0.0,0.0,0.0,gyroscope,2117898408925
0.0,0.0,0.0,0.011301007,0.0021380284,-0.005955936,1.0,0.0,0.0,0.0,gyroscope,2117918397850
0.0,0.0,0.0,0.0,0.0,0.0,0.71316,-0.3443506,0.1218103,-0.59832084,rotation_vector,2117908403387
0.0,0.0,0.0,0.0,0.0,0.0,0.71312094,-0.34439856,0.12174316,-0.5983534,rotation_vector,2117948350724
-0.038888693,0.008212566,-0.022593021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117948350724
0.0,0.0,0.0,-0.0047342055,-0.0053450707,-0.0025961774,1.0,0.0,0.0,0.0,gyroscope,2117958329929
0.0,0.0,0.0,0.0,0.0,0.0,0.71315163,-0.3443085,0.12176031,-0.59836525,rotation_vector,2117928392315
0.0,0.0,0.0,-0.00015271631,-0.0036651916,-0.0038179078,1.0,0.0,0.0,0.0,gyroscope,2117938371520
-0.0346303,0.040767193,-0.025625706,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117928392315
0.0,0.0,0.0,0.0038179078,-0.0010690142,0.00030543262,1.0,0.0,0.0,0.0,gyroscope,2117978280708
-0.04221034,0.010487556,-0.026629448,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,2117968309133
