accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.3417865,0.6187675,0.27841458,-0.6502263,rotation_vector,1779052208485
0.0,0.0,0.0,-2.275473,-0.21181752,0.08735373,1.0,0.0,0.0,0.0,gyroscope,1779102066499
0.0,0.0,0.0,0.0,0.0,0.0,0.38566053,0.5917439,0.3181494,-0.6323656,rotation_vector,1779112038102
-0.48832703,1.004288,-0.9388417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1779112038102
0.0,0.0,0.0,0.0,0.0,0.0,0.3704856,0.6011046,0.30490574,-0.639098,rotation_vector,1779092094897
0.0,0.0,0.0,-2.44621,-0.18875736,0.12599096,1.0,0.0,0.0,0.0,gyroscope,1779122009704
-0.4409895,0.77434945,-0.59637505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1779092094897
0.0,0.0,0.0,-2.959184,-0.1797471,0.16615535,1.0,0.0,0.0,0.0,gyroscope,1779141930024
0.0,0.0,0.0,-3.6140316,-0.29856038,0.17913623,1.0,0.0,0.0,0.0,gyroscope,1779161827454
0.0,0.0,0.0,0.0,0.0,0.0,0.40288952,0.5815244,0.33299866,-0.623395,rotation_vector,1779131981310
-0.39487743,1.3896991,-1.3733319,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1779131981310
0.0,0.0,0.0,0.0,0.0,0.0,0.42376742,0.5674024,0.35151827,-0.6122995,rotation_vector,1779151878739
-0.59156513,1.33303,-1.692141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1779151878739
0.0,0.0,0.0,0.0,0.0,0.0,0.44812894,0.5489939,0.37262693,-0.5991121,rotation_vector,1779171776170
-0.73264694,0.8715259,-1.9950564,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,1779171776170
