timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
1775100000000,0.0,0.0,0.0,-2.3165538,0.12064589,0.310625,0.4613119,0.56581694,0.33775342,-0.5941087
1775120000000,0.4162779,0.6812055,-0.5190644,-2.663678,0.07727446,0.37751472,0.4772009,0.5557618,0.35106567,-0.58323336
1775140000000,0.43978977,0.21994674,-0.5668951,-2.956435,0.035430185,0.420428,0.49491963,0.54371697,0.36541668,-0.570874
1775160000000,0.34664154,0.120105624,-0.56883,-3.2345314,0.0364992,0.48502702,0.5139939,0.52994674,0.38060275,-0.5568737
1775180000000,-0.02209282,0.14890957,-0.8828107,-3.732234,0.056046885,0.5120578,0.53432125,0.5144116,0.3969646,-0.54064834
1775200000000,0.012436867,0.30511463,-1.1901088,-4.603786,0.055588737,0.4633413,0.5556323,0.4975144,0.41809317,-0.5186042
1775220000000,-0.22585201,0.03943479,-1.8109674,-5.6309557,-0.03023783,0.3746131,0.5776029,0.47526112,0.4447397,-0.49265435
1775240000000,-1.441515,-1.0444833,-2.2004738,-6.376364,-0.279929,0.30405816,0.60786915,0.43964747,0.4717589,-0.463302
1775260000000,-2.1941938,-2.1257343,-2.1099324,-6.6233063,-0.36972618,0.34987307,0.6371614,0.40006322,0.49636143,-0.4331283
1775280000000,-0.7754059,-2.2076962,-1.9770012,-6.902014,-0.36942077,0.25060746,0.66564316,0.3564092,0.52090174,-0.39818722
1775300000000,0.8845806,-2.0257442,-2.4875195,-7.3839865,-0.45188758,0.038026363,0.69014966,0.30977258,0.5435351,-0.36373612
1775320000000,1.267539,-2.0108213,-3.3130577,-7.8485494,-0.43203443,-0.14278975,0.7140767,0.25388977,0.56681716,-0.3230369
1775340000000,0.34760284,-1.737246,-3.6844106,-8.044943,-0.37186423,-0.35995236,0.7172566,0.1958077,0.6044934,-0.28598973
1775360000000,-1.1913481,-2.3562546,-4.30402,-8.146651,-0.4709771,-0.61162883,0.73159283,0.13310196,0.623786,-0.2407215
1775380000000,-2.1877584,-3.1474526,-5.073127,-8.326246,-0.7142542,-0.6427829,0.7407988,0.07006178,0.63799465,-0.19817014
1775400000000,-2.3740778,-3.2731671,-5.223156,-8.266534,-1.0410671,-0.5196936,0.7484955,0.0025719162,0.6461067,-0.14931186
1775420000000,-1.2301655,-2.4463918,-5.015355,-7.9598794,-1.1792754,-0.463494,0.7525942,-0.060553007,0.6476363,-0.10248231
1775440000000,-0.07487106,-1.7683754,-5.2559853,-7.6518507,-1.1232284,-0.5320636,0.752592,-0.12303513,0.64455354,-0.054939445
1775460000000,0.42372894,-1.5667806,-5.517463,-7.3450437,-1.105666,-0.6258314,0.7478526,-0.18162216,0.6384321,-0.011593363
1775480000000,0.70804214,-1.5192828,-5.392527,-6.9692087,-1.073901,-0.6986771,0.73972404,-0.23891224,0.6283164,0.0307881
1775500000000,0.9727049,-1.1417453,-4.811171,-6.532746,-1.0068586,-0.72784597,0.7267655,-0.29294088,0.61750555,0.06844322
1775520000000,1.1363392,-0.25072122,-3.9199278,-6.2465553,-0.9314168,-0.74021596,0.69112986,-0.35458994,0.6222669,0.096899435
1775540000000,1.0198259,0.3526802,-3.4876409,-6.2114305,-0.923781,-0.76831573,0.65821534,-0.40867978,0.6187721,0.12982456
1775560000000,0.6552887,0.3451898,-3.464244,-6.1802764,-1.0341948,-0.7811439,0.63666844,-0.45304468,0.60150075,0.16613425
1775580000000,0.3616848,0.2953298,-3.7293973,-6.0332108,-1.255328,-0.7722864,0.61527604,-0.4953391,0.5781348,0.2045357
1775600000000,0.288805,0.5843859,-4.054762,-5.96571,-1.4963144,-0.7673995,0.59421563,-0.5325639,0.5525595,0.24075204
1775620000000,0.4327898,0.9244814,-4.5432706,-6.1792073,-1.6757561,-0.79259765,0.570059,-0.57062787,0.5198922,0.28129843
1775640000000,0.65335464,1.2248745,-4.901858,-6.509533,-1.7376062,-0.93218035,0.54411477,-0.6048859,0.48644826,0.31846562
1775660000000,0.7069969,1.3341815,-5.143966,-6.849174,-1.7925841,-1.0943651,0.51166296,-0.6420821,0.44370976,0.35923994
1775680000000,0.8138542,1.1367736,-5.224674,-7.0128856,-1.8584048,-1.2473868,0.4778762,-0.6747257,0.40063652,0.3948038
1775700000000,0.8870096,0.9741008,-5.1312976,-7.0307536,-1.9152153,-1.4013249,0.43905216,-0.7065664,0.3488431,0.43163145
1775720000000,0.81419086,1.1729167,-5.196027,-6.951952,-2.0005836,-1.5325081,0.40163457,-0.73211026,0.29869428,0.46204546
1775740000000,0.87898827,1.2747496,-5.269706,-6.854519,-2.0850358,-1.6476563,0.36070022,-0.75436527,0.24137971,0.4925083
1775760000000,1.2940569,0.90005636,-5.102149,-6.9131618,-2.0647244,-1.8637499,0.3218828,-0.77084523,0.18658553,0.51708305
