Model,Accuracy,Precision,Recall,F1-Score,F1 (Clench),F1 (Relax),F1 (Noise)
Ensemble (Mega: RF+MN+RN),0.7798507462686567,0.7808964329443129,0.7798507462686567,0.775938818064045,0.8876404494382022,0.7817258883248731,0.6583850931677019
Ensemble (RF + ResNet),0.7686567164179104,0.7658012410632289,0.7686567164179104,0.7644578812507017,0.8852459016393442,0.7578947368421053,0.6503067484662577
Ensemble (RF + MobileNet),0.7649253731343284,0.7673117309322578,0.7649253731343284,0.7636039733902389,0.872093023255814,0.7794871794871795,0.6390532544378699
ResNet50,0.7611940298507462,0.7628147079374128,0.7611940298507462,0.7515029690258385,0.8709677419354839,0.77,0.6133333333333333
MobileNetV2,0.75,0.752375544637063,0.75,0.743776111385565,0.8554913294797688,0.7804878048780488,0.5949367088607594
Random Forest,0.7425373134328358,0.7472789823867347,0.7425373134328358,0.7443482788283055,0.813953488372093,0.7666666666666667,0.6521739130434783
Logistic Regression,0.6753731343283582,0.6962026151935755,0.6753731343283582,0.679322917913994,0.7435897435897436,0.6492146596858639,0.6455026455026455
KNN,0.664179104477612,0.6709727167307686,0.664179104477612,0.6655884868983817,0.6918918918918919,0.7065868263473054,0.5978260869565217
PCA + LogReg,0.6529850746268657,0.668220979432332,0.6529850746268657,0.6571903979633132,0.7560975609756098,0.5989847715736041,0.6171428571428571
SVM,0.6343283582089553,0.6455779716248562,0.6343283582089553,0.6365313602278984,0.648936170212766,0.6871165644171779,0.572972972972973
CNN (Warning: Failed),0.4962686567164179,0.4833575138866862,0.4962686567164179,0.4818848824184924,0.32894736842105265,0.6066350710900474,0.5086705202312138
MLP (Warning: Failed),0.4253731343283582,0.4219196731440202,0.4253731343283582,0.37977493654218386,0.15384615384615385,0.5263157894736842,0.45751633986928103
